province,n_calls,woningen
DR,47,224556
FL,44,174659	
FR,78,304693	
GD,261,922524	
GR,83,285012	
LB,313,536617
NB,282,1151426	
NH,634,1359800	
OV,139,514993	
UT,81,593799
ZL,93,188560	
ZH,1835,1709692	
