,date,n_calls
290,2021-12-20,4
291,2021-12-21,8
292,2021-12-22,12
293,2021-12-23,10
294,2021-12-24,10
295,2021-12-25,9
296,2021-12-26,11
297,2021-12-27,8
298,2021-12-28,10
299,2021-12-29,3
300,2021-12-30,7
301,2021-12-31,7
302,2022-01-01,8
303,2022-01-02,6
304,2022-01-03,12
305,2022-01-04,6
306,2022-01-05,5
307,2022-01-06,5
308,2022-01-07,4
309,2022-01-08,9
310,2022-01-09,10
311,2022-01-10,3
312,2022-01-11,6
313,2022-01-12,4
314,2022-01-13,2
315,2022-01-14,12
316,2022-01-15,9
317,2022-01-16,12
318,2022-01-17,2
319,2022-01-18,8
320,2022-01-19,10
321,2022-01-20,7
322,2022-01-21,8
323,2022-01-22,13
324,2022-01-23,3
325,2022-01-24,8
326,2022-01-25,5
327,2022-01-26,5
328,2022-01-27,8
329,2022-01-28,6
330,2022-01-29,6
331,2022-01-30,4
332,2022-01-31,14
333,2022-02-01,5
334,2022-02-02,8
335,2022-02-03,5
336,2022-02-04,6
337,2022-02-05,17
338,2022-02-06,37
339,2022-02-07,13
340,2022-02-08,2
341,2022-02-09,5
342,2022-02-10,9
343,2022-02-11,7
344,2022-02-12,3
345,2022-02-13,10
346,2022-02-14,2
347,2022-02-15,6
348,2022-02-16,7
349,2022-02-17,4
350,2022-02-18,7
351,2022-02-19,71
352,2022-02-20,123
353,2022-02-21,53
354,2022-02-22,17
355,2022-02-23,5
356,2022-02-24,8
357,2022-02-25,11
358,2022-02-26,7
359,2022-02-27,8
